url,filename,date,knesset_num,title
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_26.pdf,hachlatot15_26.pdf,2001-11-13,15,"החלטת הוועדה בקובלנה של ח""כ דוד אזולאי נגד חברי הכנסת אחמד טיבי ומוחמד כנעאן"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_27a.pdf,hachlatot15_27a.pdf,2001-11-20,15,"החלטת הוועדה בקובלנה של רשם העמותות, עו""ד עמירם בוגט נגד חברי הכנסת אופיר פינס-פז וויצמן שירי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_27.pdf,hachlatot15_27.pdf,2001-11-20,15,"החלטת הוועדה בקובלנתו של ח""כ אביגדור ליברמן נגד ח""כ רן כהן"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_34.pdf,hachlatot15_34.pdf,2002-01-06,15,"החלטת הוועדה בקובלנה של ח""כ איתן כבל נגד השר שלמה בניזרי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_33.pdf,hachlatot15_33.pdf,2002-01-06,15,"החלטת הוועדה בקובלנה של יצחק בם, תנועת ""תכלית"" - תנועת סטודנטים לאומית בישראל נגד ח""כ אחמד טיבי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_32.pdf,hachlatot15_32.pdf,2002-01-06,15,"החלטת הוועדה בקובלנה של ח""כ טלב אלסאנע ויוסי שריד נגד השר עוזי לנדאו"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_31.pdf,hachlatot15_31.pdf,2002-01-06,15,"החלטת הוועדה בקובלנה של ח""כ זבולון אורלב נגד ח""כ עבד אלמאלכ דהאמשה"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_30.pdf,hachlatot15_30.pdf,2002-01-06,15,"החלטת הוועדה בקובלנה של ח""כ מוחמד ברכה נגד ח""כ יוסף לפיד"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_29.pdf,hachlatot15_29.pdf,2002-01-06,15,"החלטת הוועדה בקובלנות של ח""כ זאב בוים ומר חיים אשבל נגד ח""כ עבד אלמאלכ דהאמשה"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_28.pdf,hachlatot15_28.pdf,2002-01-06,15,החלטת הוועדה בקובלנות הדדיות של חברי הכנסת נעמי חזן ומיכאל קליינר
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_35.pdf,hachlatot15_35.pdf,2002-01-09,15,"החלטת הוועדה בקובלנות של ח""כ זהבה גלאון, ח""כ אפי אושעיה, ח""כ אבשלום וילן, הקרן החדשה לישראל וסגן השר מלכיאור נגד חבר הכנסת צבי הנדל"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_38.pdf,hachlatot15_38.pdf,2002-02-12,15,"החלטת הוועדה בקובלנה של ח""כ האשם מחאמיד נגד ח""כ ישראל כץ"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_37.pdf,hachlatot15_37.pdf,2002-02-12,15,החלטת הוועדה בדבר קבלת מתנות וטובות הנאה בידי חברי הכנסת
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_36.pdf,hachlatot15_36.pdf,2002-02-12,15,"החלטת הוועדה בענין מימון נסיעות לחו""ל של חברי הכנסת"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_39.pdf,hachlatot15_39.pdf,2002-02-14,15,"החלטת ועדת האתיקה בעניין בקובלנת התנועה למען איכות השלטון בישראל נגד ח""כ חיים כץ"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_40.pdf,hachlatot15_40.pdf,2002-03-12,15,"החלטת הוועדה בקובלנה של עו""ד משה שחל נגד ח""כ ויצמן שירי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_42.pdf,hachlatot15_42.pdf,2002-04-30,15,"החלטת ועדת האתיקה בענין קובלנה של סגן השר גדעון עזרא נגד ח""כ מוחמד ברכה"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_41.pdf,hachlatot15_41.pdf,2002-04-30,15,"החלטת הוועדה בענין פנייתו של יו""ר הכנסת לפי סעיף ‎70 לתקנון הכנסת ובענין קובלנתו של ח""כ זאב בוים נגד ח""כ עסאם מח'ול"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_43.pdf,hachlatot15_43.pdf,2002-05-21,15,"נוהל אתיקה לחברי הכנסת (קובלנות) (תיקון), התשס""ב-‎2002"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_46.pdf,hachlatot15_46.pdf,2002-06-11,15,"החלטת ועדת האתיקה בקובלנה של העתונאי נחמיה שטרסלר נגד ח""כ אליעזר (צ'יטה) כהן"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_45.pdf,hachlatot15_45.pdf,2002-06-11,15,החלטת ועדת האתיקה בנושא קבלת ספרים על ידי יושב ראש הכנסת וחברי הכנסת
